Date,AGG,SPY
1999-12-31,,
2000-03-31,,0.026431837900316335
2000-06-30,,-0.031598731020856086
2000-09-30,,-0.00891652530187792
2000-12-31,,-0.08379537579560847
2001-03-31,,-0.10811487232667438
2001-06-30,,0.05363510576308861
2001-09-30,,-0.1449270360894791
2001-12-31,,0.0981719458953263
2002-03-31,,0.0047953835751441964
2002-06-30,,-0.1328472771832232
2002-09-30,,-0.16979938892911517
2002-12-31,,0.08403919018771355
2003-03-31,,-0.035682868403630774
2003-06-30,,0.1562739917558973
2003-09-30,,0.0276936167160986
2003-12-31,0.003698491763174827,0.11861680698036525
2004-03-31,0.022816848811094248,0.01991787361725339
2004-06-30,-0.024686867915348687,0.01634026177877912
2004-09-30,0.0308866416925897,-0.020123741219951197
2004-12-31,0.00919353564560521,0.08984312002002826
2005-03-31,-0.008603067032059819,-0.02024189581468816
2005-06-30,0.03463532893809207,0.01441957441799735
2005-09-30,-0.008038640299383948,0.036782742851156236
2005-12-31,0.005068957906167348,0.01731191093916795
2006-03-31,-0.00767410608031216,0.04687405569788172
2006-06-30,-0.005074386549715149,-0.01530787926255417
2006-09-30,0.04043878660287059,0.054112603825090755
2006-12-31,0.011438964458016176,0.06609558161982143
2007-03-31,0.013559631814817674,0.006660427382033651
2007-06-30,-0.00708471515525777,0.06393181107502954
2007-09-30,0.030140308486100054,0.019104489132770963
2007-12-31,0.028201655518042212,-0.0366626287068883
2008-03-31,0.022817125949875727,-0.09292600927908268
2008-06-30,-0.01124900370112114,-0.02538345616083937
2008-09-30,-0.006410497381255098,-0.08844050386241731
2008-12-31,0.07381582763957217,-0.2156862353950869
2009-03-31,-0.019513762115470845,-0.11248714120523184
2009-06-30,0.016546289293762673,0.16284459046708566
2009-09-30,0.03722680597436301,0.15381094461599298
2009-12-31,-0.003986993641722392,0.061085526727775896
2010-03-31,0.016092352140719912,0.05421555230917008
2010-06-30,0.03871553088372348,-0.11358045286055651
2010-09-30,0.021600659077919415,0.111615959110837
2010-12-31,-0.013546825014833841,0.10760830751175066
2011-03-31,-0.00018426908801794095,0.058974328591515635
2011-06-30,0.02368896124327957,0.00025825782977806355
2011-09-30,0.040283104618619614,-0.13817235651940907
2011-12-31,0.011491758017299514,0.11618197799670527
2012-03-31,0.0013509196739260876,0.1269088529380431
2012-06-30,0.01973663383214208,-0.0284414407133049
2012-09-30,0.01632408934771501,0.06347213094817761
2012-12-31,-0.0002247883822001917,-0.003820246454928844
2013-03-31,0.0006449430093065089,0.10502656564083823
2013-06-30,-0.026008722942403306,0.02935372578276363
2013-09-30,0.005548815256353201,0.05241800285034648
2013-12-31,0.00019924458922049304,0.10524791635728259
2014-03-31,0.01772224283536694,0.017030329925707743
2014-06-30,0.019516961988536474,0.05159019711147472
2014-09-30,0.002755051433114941,0.011347746518428181
2014-12-31,0.018782429750004548,0.049002071903408106
2015-03-31,0.015181750382814219,0.00881349459628078
2015-06-30,-0.01827324615058823,0.002040947441071417
2015-09-30,0.013390806217299822,-0.06423986382377966
2015-12-31,-0.00511790908908516,0.07020448893875764
2016-03-31,0.030321019550144657,0.013292961310705786
2016-06-30,0.02208864827938184,0.024568722108703867
2016-09-30,0.003796424095032558,0.03777272158132705
2016-12-31,-0.03116124761053174,0.03951661712863985
2017-03-31,0.008043531640128831,0.05921179238965313
2017-06-30,0.015817326828881928,0.030708326397592245
2017-09-30,0.006996196861625892,0.04415548374467515
2017-12-31,0.0042436425300060865,0.067643601109455
2018-03-31,-0.014655461078943777,-0.009952986935502839
2018-06-30,-0.00183101752118342,0.03552364966837174
2018-09-30,-0.000844304085796943,0.07651156850505525
2018-12-31,0.021061537868917846,-0.13532102396438495
2019-03-31,0.029355240846936637,0.13526016904321647
2019-06-30,0.02823961473747838,0.04228597743992335
2019-09-30,0.023394368699068302,0.017544586353699154
2019-12-31,0.0012661160443894204,0.08987581811684997
2020-03-31,0.03099845729004813,-0.19447677208468928
2020-06-30,0.030781025966406306,0.20161728612037
2020-09-30,0.00400803993999177,0.09038341011197004
2020-12-31,0.007280350032033089,0.12118509622993812
2021-03-31,-0.033719372835031014,0.06351770910509735
2021-06-30,0.017730063538988317,0.0835933382353995
2021-09-30,-0.00011634115748759832,0.005734684233635434
2021-12-31,-0.0009756721790696865,0.11065999793477599
2022-03-31,-0.05845747897565756,-0.046144832321632356
2022-06-30,-0.045795382403522766,-0.16110253592059076
2022-09-30,-0.04702333623508281,-0.049311599791217464
2022-12-31,0.015891939665384047,0.07560935428099191
2023-03-31,0.032322688790040965,0.07458220107706026
2023-06-30,-0.009414814944365135,0.08680378302966174
2023-09-30,-0.03219423773973318,-0.032241799597998555
2023-12-31,0.06756833372799864,0.11639634352655515
