Date,SPY,AGG,PE,NPI
2000-03-31,2.64325886222407,,7.0,3.2
2000-06-30,-3.15993601940555,,-9.985943626697606,2.188083996510128
2000-09-30,-0.89158613107834,,-22.221571777570663,2.0880839965101305
2000-12-31,-8.37957532598391,,-10.050315475824553,1.4821259947651957
2001-03-31,-10.81149540314692,,1.35312675048503,-3.727454022684152
2001-06-30,5.36355166191802,,-4.926563375242516,-1.8476640139594795
2001-09-30,-14.492775945919812,,-2.0293746499029925,-0.22383200697973768
2001-12-31,9.817233268994642,,0.11187605029101744,1.094041998255064
2002-03-31,0.47950726237355,,-0.2587492998059871,2.5619160034898685
2002-06-30,-13.28468154819468,,-0.3440619748544904,1.3464251989530411
2002-09-30,-16.979960699684778,,0.9265633752425158,1.4176167993020263
2002-12-31,8.40395610467568,,-0.029374649902994043,1.397616799302025
2003-03-31,-3.5683589478260695,,10.362191526115572,3.3002572059327773
2003-06-30,15.62740775765443,,11.206253500970062,3.0654908045368288
2003-09-30,2.7693273659527,,15.632816876212578,3.0942992041878434
2003-12-31,11.86178272080664,0.36984906347441,9.882501400388023,3.517874005234803
2004-03-31,1.99175617037468,2.28160819217642,-4.362191526115571,9.73937002617402
2004-06-30,1.63403663566907,-2.4686061619604,7.897188725339522,6.441706012214545
2004-09-30,-2.01234443043392,3.08861728435128,6.655938025145507,6.285748010469608
2004-12-31,8.98430000618253,0.91939058163557,4.044061974854493,5.067874005234806
2005-03-31,-2.0242640356726698,-0.8602332261733501,3.2587492998059844,8.759580017449347
2005-06-30,1.44205363461302,3.46334466130602,8.197188725339522,7.7417060122145385
2005-09-30,3.67831080031297,-0.80389321639026,7.926563375242518,6.573832006979744
2005-12-31,1.73112661359635,0.5070978441270799,9.882501400388023,6.773832006979739
2006-03-31,4.68743227170374,-0.7673669316256501,0.4909352243694601,-5.675118036643629
2006-06-30,-1.53079603791566,-0.50762556787679,7.926563375242518,4.405958001744936
2006-09-30,5.41125081378099,4.043902470864761,8.426563375242514,4.455958001744934
